"dv","ivs","cc","demog","inter"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl"," "
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1sex"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1racewhbl"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*p1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*p1racewhbl"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1sex"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1sex"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*d1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*d1racewhbl"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdcc2*p1racewhbl","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdcc2*p1racewhbl"
"ispdepr","isdhandler isdcc2 d1sex p1sex d1racewhbl p1racewhbl isdhandler*d1sex isdcc2*d1sex","isdhandler isdcc2","d1sex p1sex d1racewhbl p1racewhbl","isdhandler*d1sex isdcc2*d1sex"
