"Time(PIT)"	"Temp(F)"	"Dew_Point(F)"	"Humidity"	"Pressure(in)"	"Visibility(mi)"	"Wind_Dir"	"Wind_Speed(mph)"	"Gust_Speed(mph)"	"Precip(in)"	"Events"	"Conditions"	"Hour"	"Min"	"Date"	"DEST"	"X17"	"X18"	"X19"	"X20"
"21963"	"10:51 AM"	"53.1 °F"	"51.1 °F"	"93%"	"29.84 in"	"0.5 mi"	"WSW"	"3.5 mph"	"-"	"0.00 in"	""	"Light Drizzle"	10	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21964"	"11:04 AM"	"54.0 °F"	"52.0 °F"	"93%"	"29.82 in"	"1.0 mi"	"West"	"6.9 mph"	"-"	"0.00 in"	""	"Light Drizzle"	11	4	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21965"	"11:40 AM"	"55.9 °F"	"53.1 °F"	"90%"	"29.83 in"	"2.0 mi"	"West"	"5.8 mph"	"-"	"0.00 in"	""	"Light Drizzle"	11	40	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21966"	"11:51 AM"	"55.9 °F"	"53.1 °F"	"90%"	"29.85 in"	"2.0 mi"	"West"	"9.2 mph"	"-"	"0.00 in"	""	"Light Drizzle"	11	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21967"	"12:20 PM"	"55.9 °F"	"52.0 °F"	"87%"	"29.83 in"	"7.0 mi"	"West"	"10.4 mph"	"-"	"0.00 in"	""	"Light Drizzle"	12	20	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21968"	"12:39 PM"	"55.9 °F"	"52.0 °F"	"87%"	"29.83 in"	"9.0 mi"	"WNW"	"11.5 mph"	"-"	"0.00 in"	""	"Overcast"	12	39	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21969"	"12:51 PM"	"55.9 °F"	"51.1 °F"	"84%"	"29.86 in"	"10.0 mi"	"NW"	"10.4 mph"	"-"	"0.00 in"	""	"Overcast"	12	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21970"	"1:51 PM"	"57.0 °F"	"51.1 °F"	"81%"	"29.86 in"	"10.0 mi"	"West"	"9.2 mph"	"-"	"N/A"	""	"Overcast"	13	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21971"	"2:40 PM"	"59.0 °F"	"50.0 °F"	"72%"	"29.83 in"	"10.0 mi"	"NW"	"10.4 mph"	"-"	"N/A"	""	"Overcast"	14	40	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21972"	"2:51 PM"	"57.9 °F"	"50.0 °F"	"75%"	"29.85 in"	"10.0 mi"	"WNW"	"10.4 mph"	"-"	"N/A"	""	"Overcast"	14	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21973"	"3:51 PM"	"59.0 °F"	"48.9 °F"	"69%"	"29.83 in"	"10.0 mi"	"NW"	"4.6 mph"	"-"	"N/A"	""	"Overcast"	15	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21974"	"4:51 PM"	"59.0 °F"	"48.0 °F"	"67%"	"29.84 in"	"10.0 mi"	"West"	"6.9 mph"	"-"	"N/A"	""	"Overcast"	16	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21975"	"5:51 PM"	"59.0 °F"	"48.0 °F"	"67%"	"29.85 in"	"10.0 mi"	"WNW"	"5.8 mph"	"-"	"N/A"	""	"Overcast"	17	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21976"	"6:23 PM"	"59.0 °F"	"48.0 °F"	"67%"	"29.83 in"	"10.0 mi"	"NNW"	"4.6 mph"	"-"	"N/A"	""	"Mostly Cloudy"	18	23	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21977"	"6:51 PM"	"59.0 °F"	"48.0 °F"	"67%"	"29.85 in"	"10.0 mi"	"North"	"3.5 mph"	"-"	"N/A"	""	"Partly Cloudy"	18	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21978"	"7:51 PM"	"55.9 °F"	"46.9 °F"	"72%"	"29.86 in"	"10.0 mi"	"NNE"	"3.5 mph"	"-"	"N/A"	""	"Partly Cloudy"	19	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21979"	"8:51 PM"	"54.0 °F"	"46.9 °F"	"77%"	"29.86 in"	"10.0 mi"	"NE"	"5.8 mph"	"-"	"N/A"	""	"Partly Cloudy"	20	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21980"	"9:51 PM"	"52.0 °F"	"46.0 °F"	"80%"	"29.86 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"N/A"	""	"Partly Cloudy"	21	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21981"	"10:51 PM"	"52.0 °F"	"46.9 °F"	"83%"	"29.83 in"	"10.0 mi"	"East"	"3.5 mph"	"-"	"N/A"	""	"Partly Cloudy"	22	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"21982"	"11:51 PM"	"51.1 °F"	"46.9 °F"	"86%"	"29.82 in"	"9.0 mi"	"ESE"	"4.6 mph"	"-"	"N/A"	""	"Scattered Clouds"	23	51	"2016/3/15"	"PIT"	NA	NA	NA	NA
"22001"	"12:51 AM"	"51.1 °F"	"46.9 °F"	"86%"	"29.81 in"	"8.0 mi"	"East"	"4.6 mph"	"-"	"N/A"	""	"Scattered Clouds"	0	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22002"	"1:51 AM"	"50.0 °F"	"46.0 °F"	"86%"	"29.78 in"	"7.0 mi"	"East"	"5.8 mph"	"-"	"N/A"	""	"Partly Cloudy"	1	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22003"	"2:51 AM"	"48.9 °F"	"46.0 °F"	"90%"	"29.75 in"	"7.0 mi"	"ESE"	"4.6 mph"	"-"	"N/A"	""	"Mostly Cloudy"	2	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22004"	"3:51 AM"	"50.0 °F"	"46.9 °F"	"89%"	"29.71 in"	"6.0 mi"	"ESE"	"4.6 mph"	"-"	"N/A"	""	"Mostly Cloudy"	3	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22005"	"4:51 AM"	"50.0 °F"	"46.9 °F"	"89%"	"29.68 in"	"7.0 mi"	"ESE"	"3.5 mph"	"-"	"N/A"	""	"Overcast"	4	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22006"	"5:51 AM"	"51.1 °F"	"46.9 °F"	"86%"	"29.68 in"	"8.0 mi"	"East"	"5.8 mph"	"-"	"N/A"	""	"Mostly Cloudy"	5	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22007"	"6:51 AM"	"50.0 °F"	"46.9 °F"	"89%"	"29.67 in"	"8.0 mi"	"ESE"	"5.8 mph"	"-"	"N/A"	""	"Mostly Cloudy"	6	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22008"	"7:51 AM"	"51.1 °F"	"46.0 °F"	"83%"	"29.66 in"	"10.0 mi"	"SSE"	"5.8 mph"	"-"	"N/A"	""	"Mostly Cloudy"	7	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22009"	"8:51 AM"	"54.0 °F"	"48.0 °F"	"80%"	"29.66 in"	"10.0 mi"	"SE"	"4.6 mph"	"-"	"N/A"	""	"Mostly Cloudy"	8	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22010"	"9:51 AM"	"59.0 °F"	"48.9 °F"	"69%"	"29.66 in"	"10.0 mi"	"SSE"	"4.6 mph"	"-"	"N/A"	""	"Overcast"	9	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22011"	"10:51 AM"	"66.9 °F"	"48.9 °F"	"52%"	"29.66 in"	"10.0 mi"	"SW"	"10.4 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	10	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22012"	"11:51 AM"	"64.9 °F"	"48.9 °F"	"56%"	"29.69 in"	"10.0 mi"	"West"	"13.8 mph"	"23.0 mph"	"0.00 in"	""	"Overcast"	11	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22013"	"12:51 PM"	"64.9 °F"	"48.0 °F"	"54%"	"29.71 in"	"10.0 mi"	"West"	"15.0 mph"	"24.2 mph"	"N/A"	""	"Overcast"	12	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22014"	"1:51 PM"	"66.0 °F"	"42.1 °F"	"42%"	"29.71 in"	"10.0 mi"	"West"	"21.9 mph"	"32.2 mph"	"N/A"	""	"Scattered Clouds"	13	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22015"	"2:51 PM"	"68.0 °F"	"30.0 °F"	"24%"	"29.72 in"	"10.0 mi"	"West"	"17.3 mph"	"32.2 mph"	"N/A"	""	"Scattered Clouds"	14	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22016"	"3:51 PM"	"66.9 °F"	"25.0 °F"	"21%"	"29.74 in"	"10.0 mi"	"WSW"	"24.2 mph"	"34.5 mph"	"N/A"	""	"Scattered Clouds"	15	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22017"	"4:51 PM"	"64.9 °F"	"26.1 °F"	"23%"	"29.76 in"	"10.0 mi"	"West"	"21.9 mph"	"42.6 mph"	"N/A"	""	"Scattered Clouds"	16	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22018"	"5:51 PM"	"64.0 °F"	"25.0 °F"	"23%"	"29.78 in"	"10.0 mi"	"West"	"23.0 mph"	"34.5 mph"	"N/A"	""	"Partly Cloudy"	17	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22019"	"6:51 PM"	"62.1 °F"	"28.0 °F"	"28%"	"29.82 in"	"10.0 mi"	"West"	"17.3 mph"	"26.5 mph"	"N/A"	""	"Scattered Clouds"	18	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22020"	"7:51 PM"	"60.1 °F"	"24.1 °F"	"25%"	"29.86 in"	"10.0 mi"	"West"	"13.8 mph"	"20.7 mph"	"N/A"	""	"Scattered Clouds"	19	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22021"	"8:51 PM"	"59.0 °F"	"24.1 °F"	"26%"	"29.88 in"	"10.0 mi"	"WSW"	"10.4 mph"	"18.4 mph"	"N/A"	""	"Mostly Cloudy"	20	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22022"	"9:51 PM"	"57.0 °F"	"26.1 °F"	"30%"	"29.89 in"	"10.0 mi"	"West"	"9.2 mph"	"18.4 mph"	"N/A"	""	"Mostly Cloudy"	21	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22023"	"10:51 PM"	"53.1 °F"	"28.9 °F"	"40%"	"29.89 in"	"10.0 mi"	"West"	"8.1 mph"	"-"	"N/A"	""	"Overcast"	22	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22024"	"11:51 PM"	"52.0 °F"	"28.9 °F"	"41%"	"29.90 in"	"10.0 mi"	"West"	"9.2 mph"	"-"	"N/A"	""	"Mostly Cloudy"	23	51	"2016/3/16"	"PIT"	NA	NA	NA	NA
"22051"	"12:51 AM"	"52.0 °F"	"27.0 °F"	"38%"	"29.89 in"	"10.0 mi"	"West"	"6.9 mph"	"-"	"N/A"	NA	"Overcast"	0	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22052"	"1:51 AM"	"51.1 °F"	"27.0 °F"	"39%"	"29.89 in"	"10.0 mi"	"SW"	"5.8 mph"	"-"	"N/A"	NA	"Overcast"	1	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22053"	"2:51 AM"	"52.0 °F"	"28.0 °F"	"40%"	"29.89 in"	"10.0 mi"	"SW"	"5.8 mph"	"-"	"N/A"	NA	"Overcast"	2	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22054"	"3:51 AM"	"53.1 °F"	"26.1 °F"	"35%"	"29.87 in"	"10.0 mi"	"WSW"	"6.9 mph"	"-"	"N/A"	NA	"Overcast"	3	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22055"	"4:51 AM"	"50.0 °F"	"33.1 °F"	"52%"	"29.87 in"	"10.0 mi"	"West"	"3.5 mph"	"-"	"0.00 in"	NA	"Overcast"	4	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22056"	"5:51 AM"	"50.0 °F"	"28.9 °F"	"44%"	"29.87 in"	"10.0 mi"	"WSW"	"5.8 mph"	"-"	"N/A"	NA	"Overcast"	5	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22057"	"6:51 AM"	"51.1 °F"	"28.9 °F"	"43%"	"29.88 in"	"10.0 mi"	"WSW"	"5.8 mph"	"-"	"N/A"	NA	"Overcast"	6	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22058"	"7:51 AM"	"50.0 °F"	"30.0 °F"	"46%"	"29.89 in"	"10.0 mi"	"WSW"	"6.9 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	7	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22059"	"8:51 AM"	"50.0 °F"	"30.0 °F"	"46%"	"29.90 in"	"10.0 mi"	"SW"	"8.1 mph"	"-"	"N/A"	NA	"Mostly Cloudy"	8	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22060"	"9:51 AM"	"52.0 °F"	"28.9 °F"	"41%"	"29.89 in"	"10.0 mi"	"West"	"10.4 mph"	"-"	"N/A"	NA	"Scattered Clouds"	9	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22061"	"10:51 AM"	"53.1 °F"	"27.0 °F"	"37%"	"29.89 in"	"10.0 mi"	"WSW"	"11.5 mph"	"-"	"N/A"	NA	"Scattered Clouds"	10	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22062"	"11:51 AM"	"57.0 °F"	"28.0 °F"	"33%"	"29.88 in"	"10.0 mi"	"West"	"18.4 mph"	"24.2 mph"	"N/A"	NA	"Mostly Cloudy"	11	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22063"	"12:51 PM"	"57.0 °F"	"21.9 °F"	"26%"	"29.86 in"	"10.0 mi"	"West"	"17.3 mph"	"29.9 mph"	"N/A"	NA	"Mostly Cloudy"	12	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22064"	"1:51 PM"	"57.0 °F"	"19.0 °F"	"23%"	"29.85 in"	"10.0 mi"	"West"	"17.3 mph"	"26.5 mph"	"N/A"	NA	"Mostly Cloudy"	13	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22065"	"2:51 PM"	"57.9 °F"	"19.9 °F"	"23%"	"29.84 in"	"10.0 mi"	"WNW"	"21.9 mph"	"31.1 mph"	"N/A"	NA	"Mostly Cloudy"	14	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22066"	"3:51 PM"	"59.0 °F"	"19.0 °F"	"21%"	"29.83 in"	"10.0 mi"	"West"	"23.0 mph"	"31.1 mph"	"N/A"	NA	"Scattered Clouds"	15	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22067"	"4:51 PM"	"59.0 °F"	"21.0 °F"	"23%"	"29.84 in"	"10.0 mi"	"West"	"18.4 mph"	"28.8 mph"	"N/A"	NA	"Mostly Cloudy"	16	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22068"	"5:51 PM"	"55.0 °F"	"25.0 °F"	"31%"	"29.86 in"	"10.0 mi"	"WNW"	"17.3 mph"	"-"	"N/A"	NA	"Scattered Clouds"	17	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22069"	"6:51 PM"	"54.0 °F"	"21.0 °F"	"28%"	"29.88 in"	"10.0 mi"	"West"	"12.7 mph"	"23.0 mph"	"N/A"	NA	"Mostly Cloudy"	18	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22070"	"7:51 PM"	"52.0 °F"	"23.0 °F"	"32%"	"29.90 in"	"10.0 mi"	"West"	"10.4 mph"	"-"	"0.00 in"	NA	"Scattered Clouds"	19	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22071"	"8:51 PM"	"51.1 °F"	"21.9 °F"	"32%"	"29.92 in"	"10.0 mi"	"WSW"	"6.9 mph"	"-"	"N/A"	NA	"Partly Cloudy"	20	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22072"	"9:51 PM"	"48.9 °F"	"23.0 °F"	"36%"	"29.93 in"	"10.0 mi"	"WSW"	"6.9 mph"	"-"	"N/A"	NA	"Partly Cloudy"	21	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22073"	"10:51 PM"	"46.9 °F"	"23.0 °F"	"39%"	"29.94 in"	"10.0 mi"	"West"	"4.6 mph"	"-"	"N/A"	NA	"Partly Cloudy"	22	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22074"	"11:51 PM"	"43.0 °F"	"24.1 °F"	"47%"	"29.94 in"	"10.0 mi"	"West"	"5.8 mph"	"-"	"N/A"	NA	"Clear"	23	51	"2016/3/17"	"PIT"	NA	NA	NA	NA
"22101"	"12:51 AM"	"44.1 °F"	"24.1 °F"	"45%"	"29.94 in"	"10.0 mi"	"NW"	"9.2 mph"	"-"	"N/A"	NA	"Clear"	0	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22102"	"1:51 AM"	"44.1 °F"	"24.1 °F"	"45%"	"29.94 in"	"10.0 mi"	"West"	"4.6 mph"	"-"	"N/A"	NA	"Partly Cloudy"	1	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22103"	"2:51 AM"	"37.9 °F"	"24.1 °F"	"57%"	"29.95 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"N/A"	NA	"Partly Cloudy"	2	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22104"	"3:51 AM"	"37.9 °F"	"25.0 °F"	"60%"	"29.94 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"N/A"	NA	"Partly Cloudy"	3	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22105"	"4:51 AM"	"37.0 °F"	"27.0 °F"	"67%"	"29.94 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"0.00 in"	NA	"Partly Cloudy"	4	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22106"	"5:51 AM"	"37.9 °F"	"25.0 °F"	"60%"	"29.94 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"N/A"	NA	"Partly Cloudy"	5	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22107"	"6:51 AM"	"37.9 °F"	"24.1 °F"	"57%"	"29.95 in"	"10.0 mi"	"WSW"	"4.6 mph"	"-"	"N/A"	NA	"Partly Cloudy"	6	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22108"	"7:51 AM"	"39.0 °F"	"25.0 °F"	"57%"	"29.95 in"	"10.0 mi"	"West"	"5.8 mph"	"-"	"N/A"	NA	"Partly Cloudy"	7	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22109"	"8:51 AM"	"43.0 °F"	"27.0 °F"	"53%"	"29.95 in"	"10.0 mi"	"West"	"9.2 mph"	"-"	"N/A"	NA	"Partly Cloudy"	8	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22110"	"9:51 AM"	"46.9 °F"	"27.0 °F"	"46%"	"29.97 in"	"10.0 mi"	"West"	"11.5 mph"	"-"	"N/A"	NA	"Partly Cloudy"	9	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22111"	"10:51 AM"	"52.0 °F"	"24.1 °F"	"34%"	"29.97 in"	"10.0 mi"	"West"	"18.4 mph"	"23.0 mph"	"N/A"	NA	"Partly Cloudy"	10	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22112"	"11:51 AM"	"55.0 °F"	"21.0 °F"	"27%"	"29.97 in"	"10.0 mi"	"West"	"18.4 mph"	"26.5 mph"	"N/A"	NA	"Partly Cloudy"	11	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22113"	"12:51 PM"	"57.0 °F"	"18.0 °F"	"22%"	"29.96 in"	"10.0 mi"	"WNW"	"27.6 mph"	"44.9 mph"	"N/A"	NA	"Mostly Cloudy"	12	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22114"	"1:51 PM"	"57.0 °F"	"17.1 °F"	"21%"	"29.94 in"	"10.0 mi"	"West"	"16.1 mph"	"31.1 mph"	"N/A"	NA	"Scattered Clouds"	13	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22115"	"2:51 PM"	"57.0 °F"	"10.0 °F"	"15%"	"29.92 in"	"10.0 mi"	"West"	"24.2 mph"	"40.3 mph"	"N/A"	NA	"Scattered Clouds"	14	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22116"	"3:51 PM"	"59.0 °F"	"12.0 °F"	"16%"	"29.91 in"	"10.0 mi"	"West"	"29.9 mph"	"38.0 mph"	"N/A"	NA	"Partly Cloudy"	15	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22117"	"4:51 PM"	"57.0 °F"	"12.9 °F"	"18%"	"29.90 in"	"10.0 mi"	"West"	"26.5 mph"	"39.1 mph"	"N/A"	NA	"Scattered Clouds"	16	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22118"	"5:51 PM"	"54.0 °F"	"21.0 °F"	"28%"	"29.94 in"	"10.0 mi"	"NW"	"20.7 mph"	"33.4 mph"	"N/A"	NA	"Scattered Clouds"	17	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22119"	"6:51 PM"	"50.0 °F"	"21.9 °F"	"33%"	"29.98 in"	"10.0 mi"	"NW"	"21.9 mph"	"29.9 mph"	"N/A"	NA	"Mostly Cloudy"	18	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22120"	"7:51 PM"	"46.9 °F"	"25.0 °F"	"42%"	"30.02 in"	"10.0 mi"	"NNW"	"20.7 mph"	"-"	"N/A"	NA	"Partly Cloudy"	19	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22121"	"8:51 PM"	"44.1 °F"	"24.1 °F"	"45%"	"30.04 in"	"10.0 mi"	"NNW"	"17.3 mph"	"-"	"N/A"	NA	"Partly Cloudy"	20	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22122"	"9:51 PM"	"42.1 °F"	"28.0 °F"	"58%"	"30.06 in"	"10.0 mi"	"North"	"12.7 mph"	"-"	"N/A"	NA	"Partly Cloudy"	21	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22123"	"10:51 PM"	"39.9 °F"	"28.0 °F"	"63%"	"30.10 in"	"10.0 mi"	"NNW"	"6.9 mph"	"-"	"N/A"	NA	"Partly Cloudy"	22	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22124"	"11:51 PM"	"37.0 °F"	"28.0 °F"	"70%"	"30.10 in"	"10.0 mi"	"NW"	"5.8 mph"	"-"	"N/A"	NA	"Partly Cloudy"	23	51	"2016/3/18"	"PIT"	NA	NA	NA	NA
"22151"	"12:51 AM"	"36.0 °F"	"28.0 °F"	"73%"	"30.10 in"	"10.0 mi"	"NNW"	"6.9 mph"	"-"	"N/A"	""	"Partly Cloudy"	0	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22152"	"1:51 AM"	"36.0 °F"	"28.0 °F"	"73%"	"30.10 in"	"10.0 mi"	"NW"	"4.6 mph"	"-"	"N/A"	""	"Partly Cloudy"	1	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22153"	"2:51 AM"	"35.1 °F"	"28.0 °F"	"76%"	"30.11 in"	"10.0 mi"	"NW"	"6.9 mph"	"-"	"N/A"	""	"Overcast"	2	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22154"	"3:51 AM"	"35.1 °F"	"28.0 °F"	"76%"	"30.11 in"	"10.0 mi"	"North"	"8.1 mph"	"-"	"N/A"	""	"Overcast"	3	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22155"	"4:51 AM"	"34.0 °F"	"28.0 °F"	"79%"	"30.09 in"	"10.0 mi"	"NNE"	"5.8 mph"	"-"	"N/A"	""	"Overcast"	4	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22156"	"5:51 AM"	"33.1 °F"	"26.1 °F"	"75%"	"30.10 in"	"10.0 mi"	"NNE"	"5.8 mph"	"-"	"N/A"	""	"Mostly Cloudy"	5	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22157"	"6:51 AM"	"32.0 °F"	"26.1 °F"	"79%"	"30.11 in"	"10.0 mi"	"North"	"4.6 mph"	"-"	"N/A"	""	"Overcast"	6	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22158"	"7:51 AM"	"32.0 °F"	"26.1 °F"	"79%"	"30.12 in"	"10.0 mi"	"ENE"	"3.5 mph"	"-"	"N/A"	""	"Overcast"	7	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22159"	"8:51 AM"	"33.1 °F"	"27.0 °F"	"78%"	"30.13 in"	"10.0 mi"	"NE"	"3.5 mph"	"-"	"N/A"	""	"Overcast"	8	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22160"	"9:51 AM"	"35.1 °F"	"28.0 °F"	"76%"	"30.13 in"	"10.0 mi"	"NNE"	"6.9 mph"	"-"	"N/A"	""	"Mostly Cloudy"	9	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22161"	"10:51 AM"	"36.0 °F"	"28.0 °F"	"73%"	"30.13 in"	"10.0 mi"	"Variable"	"3.5 mph"	"-"	"N/A"	""	"Overcast"	10	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22162"	"11:51 AM"	"37.9 °F"	"28.9 °F"	"70%"	"30.12 in"	"10.0 mi"	"NE"	"4.6 mph"	"-"	"0.00 in"	""	"Overcast"	11	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22163"	"12:36 PM"	"39.0 °F"	"28.9 °F"	"67%"	"30.07 in"	"10.0 mi"	"NE"	"4.6 mph"	"-"	"N/A"	""	"Overcast"	12	36	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22164"	"12:51 PM"	"37.9 °F"	"28.9 °F"	"70%"	"30.12 in"	"8.0 mi"	"Calm"	"Calm"	"-"	"0.00 in"	"Snow"	"Light Snow"	12	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22165"	"1:34 PM"	"37.0 °F"	"33.1 °F"	"86%"	"30.06 in"	"7.0 mi"	"South"	"5.8 mph"	"-"	"0.01 in"	"Snow"	"Light Snow"	13	34	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22166"	"1:51 PM"	"37.0 °F"	"34.0 °F"	"89%"	"30.10 in"	"7.0 mi"	"South"	"4.6 mph"	"-"	"0.01 in"	"Rain"	"Light Rain"	13	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22167"	"2:51 PM"	"37.9 °F"	"30.9 °F"	"76%"	"30.08 in"	"8.0 mi"	"Calm"	"Calm"	"-"	"0.00 in"	"Rain"	"Light Rain"	14	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22168"	"3:51 PM"	"39.0 °F"	"30.9 °F"	"73%"	"30.08 in"	"10.0 mi"	"South"	"3.5 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	15	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22169"	"4:51 PM"	"39.0 °F"	"30.9 °F"	"73%"	"30.09 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"0.00 in"	""	"Overcast"	16	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
"22170"	"5:51 PM"	"39.0 °F"	"30.0 °F"	"70%"	"30.09 in"	"10.0 mi"	"Calm"	"Calm"	"-"	"N/A"	""	"Overcast"	17	51	"2016/3/19"	"PIT"	NA	NA	NA	NA
