"Time(PIT)"	"Temp(F)"	"Dew_Point(F)"	"Humidity"	"Pressure(in)"	"Visibility(mi)"	"Wind_Dir"	"Wind_Speed(mph)"	"Gust_Speed(mph)"	"Precip(in)"	"Events"	"Conditions"	"Hour"	"Min"	"Date"	"DEST"	"X17"	"X18"	"X19"	"X20"
"134"	"10:27 PM"	"57.9 °F"	"52.0 °F"	"81%"	"29.88 in"	"10.0 mi"	"SW"	"10.4 mph"	"21.9 mph"	"N/A"	""	"Mostly Cloudy"	22	27	"2015/1/3"	"PIT"	NA	NA	NA	NA
"135"	"10:51 PM"	"57.9 °F"	"52.0 °F"	"81%"	"29.89 in"	"10.0 mi"	"SSW"	"9.2 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	22	51	"2015/1/3"	"PIT"	NA	NA	NA	NA
"136"	"11:23 PM"	"59.0 °F"	"52.0 °F"	"78%"	"29.86 in"	"10.0 mi"	"SSW"	"13.8 mph"	"20.7 mph"	"0.00 in"	"Rain"	"Light Rain"	23	23	"2015/1/3"	"PIT"	NA	NA	NA	NA
"137"	"11:51 PM"	"57.9 °F"	"52.0 °F"	"81%"	"29.87 in"	"10.0 mi"	"SSW"	"10.4 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	23	51	"2015/1/3"	"PIT"	NA	NA	NA	NA
"151"	"12:18 AM"	"59.0 °F"	"53.1 °F"	"81%"	"29.84 in"	"10.0 mi"	"SW"	"11.5 mph"	"-"	"0.00 in"	""	"Overcast"	0	18	"2015/1/4"	"PIT"	NA	NA	NA	NA
"152"	"12:51 AM"	"59.0 °F"	"53.1 °F"	"81%"	"29.86 in"	"10.0 mi"	"SSW"	"11.5 mph"	"20.7 mph"	"0.00 in"	"Rain"	"Light Rain"	0	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"153"	"1:51 AM"	"57.9 °F"	"53.1 °F"	"84%"	"29.87 in"	"10.0 mi"	"SSW"	"11.5 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	1	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"154"	"2:51 AM"	"57.9 °F"	"54.0 °F"	"87%"	"29.85 in"	"10.0 mi"	"SSW"	"12.7 mph"	"-"	"0.01 in"	"Rain"	"Light Rain"	2	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"155"	"3:25 AM"	"57.0 °F"	"54.0 °F"	"89%"	"29.80 in"	"10.0 mi"	"South"	"13.8 mph"	"20.7 mph"	"0.00 in"	"Rain"	"Light Rain"	3	25	"2015/1/4"	"PIT"	NA	NA	NA	NA
"156"	"3:51 AM"	"57.0 °F"	"54.0 °F"	"89%"	"29.78 in"	"10.0 mi"	"South"	"15.0 mph"	"24.2 mph"	"0.01 in"	"Rain"	"Light Rain"	3	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"157"	"4:51 AM"	"57.9 °F"	"54.0 °F"	"87%"	"29.77 in"	"10.0 mi"	"SSW"	"13.8 mph"	"-"	"0.01 in"	""	"Overcast"	4	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"158"	"5:51 AM"	"57.0 °F"	"54.0 °F"	"89%"	"29.75 in"	"10.0 mi"	"SSW"	"10.4 mph"	"-"	"N/A"	""	"Overcast"	5	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"159"	"6:51 AM"	"55.9 °F"	"53.1 °F"	"90%"	"29.72 in"	"10.0 mi"	"South"	"8.1 mph"	"-"	"N/A"	""	"Overcast"	6	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"160"	"7:39 AM"	"57.9 °F"	"53.1 °F"	"84%"	"29.67 in"	"10.0 mi"	"SSW"	"16.1 mph"	"24.2 mph"	"N/A"	""	"Overcast"	7	39	"2015/1/4"	"PIT"	NA	NA	NA	NA
"161"	"7:51 AM"	"57.9 °F"	"52.0 °F"	"81%"	"29.70 in"	"10.0 mi"	"SSW"	"15.0 mph"	"24.2 mph"	"N/A"	""	"Overcast"	7	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"162"	"8:51 AM"	"60.1 °F"	"52.0 °F"	"75%"	"29.70 in"	"10.0 mi"	"SW"	"19.6 mph"	"32.2 mph"	"0.00 in"	"Rain"	"Light Rain"	8	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"163"	"9:51 AM"	"60.1 °F"	"53.1 °F"	"78%"	"29.70 in"	"3.0 mi"	"SW"	"16.1 mph"	"35.7 mph"	"0.00 in"	"Rain"	"Light Rain"	9	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"164"	"10:51 AM"	"57.0 °F"	"51.1 °F"	"81%"	"29.73 in"	"10.0 mi"	"WSW"	"19.6 mph"	"31.1 mph"	"0.02 in"	"Rain"	"Light Rain"	10	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"165"	"11:51 AM"	"53.1 °F"	"50.0 °F"	"89%"	"29.74 in"	"6.0 mi"	"West"	"18.4 mph"	"27.6 mph"	"0.01 in"	"Rain"	"Light Rain"	11	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"166"	"12:12 PM"	"51.1 °F"	"48.0 °F"	"89%"	"29.72 in"	"6.0 mi"	"West"	"12.7 mph"	"27.6 mph"	"0.00 in"	"Rain"	"Light Rain"	12	12	"2015/1/4"	"PIT"	NA	NA	NA	NA
"167"	"12:51 PM"	"51.1 °F"	"43.0 °F"	"74%"	"29.74 in"	"10.0 mi"	"WSW"	"15.0 mph"	"35.7 mph"	"0.00 in"	"Rain"	"Light Rain"	12	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"168"	"1:51 PM"	"52.0 °F"	"42.1 °F"	"69%"	"29.74 in"	"10.0 mi"	"West"	"15.0 mph"	"28.8 mph"	"0.00 in"	""	"Mostly Cloudy"	13	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"169"	"2:51 PM"	"48.9 °F"	"37.9 °F"	"66%"	"29.78 in"	"10.0 mi"	"West"	"20.7 mph"	"33.4 mph"	"N/A"	""	"Mostly Cloudy"	14	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"170"	"3:51 PM"	"46.9 °F"	"36.0 °F"	"66%"	"29.81 in"	"10.0 mi"	"West"	"17.3 mph"	"28.8 mph"	"N/A"	""	"Mostly Cloudy"	15	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"171"	"4:51 PM"	"43.0 °F"	"33.1 °F"	"68%"	"29.86 in"	"10.0 mi"	"West"	"19.6 mph"	"33.4 mph"	"N/A"	""	"Mostly Cloudy"	16	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"172"	"5:24 PM"	"41.0 °F"	"34.0 °F"	"76%"	"29.86 in"	"10.0 mi"	"West"	"19.6 mph"	"28.8 mph"	"N/A"	""	"Overcast"	17	24	"2015/1/4"	"PIT"	NA	NA	NA	NA
"173"	"5:51 PM"	"39.9 °F"	"32.0 °F"	"73%"	"29.93 in"	"10.0 mi"	"West"	"19.6 mph"	"28.8 mph"	"N/A"	""	"Overcast"	17	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
"174"	"6:51 PM"	"37.9 °F"	"34.0 °F"	"86%"	"29.97 in"	"9.0 mi"	"West"	"11.5 mph"	"-"	"0.00 in"	"Rain"	"Light Rain"	18	51	"2015/1/4"	"PIT"	NA	NA	NA	NA
